limiar_ms2,taxa_min_eventos_min,n_agressiva,agressiva_sinalizados,sensibilidade,n_normal,normal_sinalizados,especificidade,youden,n_sonolenta,sonolenta_sinalizados,taxa_sonolenta
2.4,1.3,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.4,1.4,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,4,0.3333333333333333
2.4,1.5,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,3,0.25
2.4,1.6,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,3,0.25
2.4,1.7,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,3,0.25
2.4,1.8,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.4,1.9,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.4,2.0,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.5,0.0,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,9,0.75
2.5,0.1,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.5,0.2,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.5,0.3,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.5,0.4,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,6,0.5
2.5,0.5,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,6,0.5
2.5,0.6,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,6,0.5
2.5,0.7,11,6,0.5454545454545454,17,2,0.8823529411764706,0.427807486631016,12,5,0.4166666666666667
2.5,0.8,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,0.9,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,1.0,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,1.1,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,1.2,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,1.3,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.5,1.4,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,4,0.3333333333333333
2.5,1.5,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,3,0.25
2.5,1.6,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,3,0.25
2.5,1.7,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.5,1.8,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.5,1.9,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.5,2.0,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
2.6,0.0,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,9,0.75
2.6,0.1,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.6,0.2,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.6,0.3,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,7,0.5833333333333334
2.6,0.4,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,6,0.5
2.6,0.5,11,6,0.5454545454545454,17,2,0.8823529411764706,0.427807486631016,12,6,0.5
2.6,0.6,11,6,0.5454545454545454,17,2,0.8823529411764706,0.427807486631016,12,6,0.5
2.6,0.7,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.6,0.8,11,5,0.45454545454545453,17,2,0.8823529411764706,0.33689839572192515,12,5,0.4166666666666667
2.6,0.9,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.6,1.0,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.6,1.1,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.6,1.2,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.6,1.3,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,4,0.3333333333333333
2.6,1.4,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,3,0.25
2.6,1.5,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.6,1.6,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.6,1.7,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
2.6,1.8,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
2.6,1.9,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
2.6,2.0,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
2.7,0.0,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.7,0.1,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.7,0.2,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,8,0.6666666666666666
2.7,0.3,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,7,0.5833333333333334
2.7,0.4,11,7,0.6363636363636364,17,2,0.8823529411764706,0.5187165775401068,12,6,0.5
2.7,0.5,11,6,0.5454545454545454,17,2,0.8823529411764706,0.427807486631016,12,6,0.5
2.7,0.6,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,6,0.5
2.7,0.7,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.7,0.8,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.7,0.9,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.7,1.0,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,5,0.4166666666666667
2.7,1.1,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,4,0.3333333333333333
2.7,1.2,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,4,0.3333333333333333
2.7,1.3,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,3,0.25
